origin_tweet_full_text,retweet_count
Gubernur Anies Baswedan tidak kenal lelah mengunjungi rumah sakit di ibu kota.   Dukungan Pak Anies terhadap dokter dan perawat di tengah melonjaknya kasus Covid-19 memang diperlukan. Mereka adalah garda terdepan dalam menekan laju penyebaran Covid.   https://t.co/warGICkQRT https://t.co/pRixXcRctW,46
"Kemarin menegur industri2 di Karawang yg telat atau tidak melaporkan kasus Covid di pabriknya, sehingga tracing jd terlambat &amp; kasus jd berlipat. Ini membuat Karawang 6 minggu zona merah terus. Penyembunyian informasi ini bs masuk kategori pasal pidana menurut Pak Kapolda Jabar. https://t.co/hc0h9ynlMc",43
"Kebijakan menarik memberi izin seluruh RS buka pelayanan pasien Covid-19. Tapi, mengizinkan itu bukan berarti mengabaikan kompetensi. Harusnya RS itu diberi izin dengan catatan. Kualitas RS-nya baik dan dokter-dokternya juga berkualitas sebagai DPJP. Jangan main beri izin saja.",42
Acara DPD PDIP Bali Dibiarkan Satgas Covid-19. . Sabtu 23 Januari 2021 https://t.co/A7dLXnMevW,42
gaeeees ada anak jabodetabek yang golongan darahnya A gak?? tapi penyintas covid ya.. artinya yg pernah positif covid dan sekarang udah sembuh.. minimal sembuh 2 minggu maksimal sembuh 3 bulan.. donor yuk bantuin gue.. buat bokap nya temen gue.. 😢 bantu RT ya minimal.. maacih..,41
"Meski selama di faskes pemerintah gratis, vitamin penunjang amat lah mahal. Belum lagi makanan tambahan. Madu, buah, dll. Covid terbukti menguras biaya sampai di tingkat individu.",36
Tindakan tegas juga akan diambil terhadap mana-mana pengusaha kilang yang gagal mewajibkan pekerja warga asing untuk membuat ujian saringan COVID-19.  #KomunikasiKita #JabatanPenerangan,36
"#NawakNgalam, vaksinasi Covid-19 tahap pertama di Kota Malang telah selesai dilakukan di Gedung Bersama, Balai Kota Malang, Kamis (28/01/2021). https://t.co/F3MvAfmED4",35
"ARGHHHHH BOSAAAAN PENGEN JOGET KEPOP LAGIIIIII TAPI MASIH ADA COVID-19  Yuk kita bersabar, kami juga kangen joget bareng kalian, kok! Nah, gapapa ya sekarang jogetnya di rumah aja. Nantikan livestream-nya di Youtube Dizkorea Collective Sabtu 30 Januari 2021 jam 8 malam. See you! https://t.co/5pICGYtqcT",34
"Potret @R_besar mengikuti proses penyuntikan Vaksin COVID-19 Sinovac kedua di RSKIA Kota Bandung, Jawa Barat, Indonesia, Januari 28, 2021   Semoga kabar dan hal baik segera mengakhiri pandemi ini, amin 🙏🏼 https://t.co/7l4YZdDJ71",31
"Pandemi covid-19, tak mempengaruhi bisnis ikan hias di Bandung, Jawa Barat. Bahkan, tren perlintasan ekspor ikan hias mengalami peningkatan selama tahun 2020. https://t.co/tVNKDnmwMu",29
"@jaaaaakk @mouldie_sep Tmn gue yg ga percaya covid kmrn mau minjem uang buat bayar swab mandiri, dan skrg dpt kabar 2  org anggota keluarganya meninggal, 1 org kritis lg butuh donor plasma. Kl udh ky gini jd ga tega jg, meski kl inget dlu postingan nya covidiot nya bikin ngelus dada. Stay safe y'all.",26
Penerapan PPKM dan Disiplin Protokol Kesehatan EFEKTIF hambat penyebaran virus COVID-19.   Ingat ya sekrng Prokes 5M bukan 3M lagi loh 👌  Terima Vaksin Taati Prokes #PecatASNTerpaparRadikal https://t.co/oN1X3VwyUs,24
"Berdasarkan data yang dihimpun dari Satgas Penanganan COVID-19 per 24 Januari 2021, disampaikan bahwa terdapar dua kategori zona risiko #COVID19 DIY yakni: - Risiko Tinggi: Kab. Sleman, Kota Yogyakarta, dan Kab. Kulon Progo - Risiko Sedang: Kab. Gunungkidul dan Kab. Bantul https://t.co/gusXpe5545",23
"Terima kasih kawan2 nakes, para vaksinator, RS, Puskesmas, Dinkes &amp; Bupati/Walikota serta  toga &amp; tomas -- Pelaksanaan Vaksinasi Covid-19 Jateng Tertinggi di Indonesia, Ganjar Dipuji Menkes dan Menteri Tito #vaksinasicovid-19 via @jpnncom https://t.co/2E1lJM9hR6",22
"Jelas konsep vaksin satu dosis tidak sebaik vaksin dua dosis ya. Data awal efikasi vaksin Johnson &amp; Johnson hanya tunjukkan perlindungan 66% untuk kasus moderate severe, bandingkan 78% efikasi sinovac untuk mild-severe. https://t.co/ssiWFpRKpS #ayovaksin #sinovacaja",20
"Pelaksanaan Vaksinasi Jateng tertinggi di Indonesia, trus bagaimana dengan DKI?  Atau jangan2 pak @aniesbaswedan masih sibuk ngecat warna-warni genting dan flyover? 🤭 https://t.co/rYQxruACpR",20
"Vietnam dan Thailand Negara Terbaik Tangani Covid, Indonesia Urutan 85 dari 98 di Bawah Bangladesh https://t.co/8wPO0Wch0D",18
"Vaksin Covid-19 Johnson &amp; Johnson 72% Efektif, 85% Mampu Cegah Penyakit Parah https://t.co/UAu1cxVygs #TempoDunia",18
"82,35% WILAYAH SLEMAN DISELIMUTI ZONA MERAH COVID-19  #Slemanis, Kabupaten Sleman masih diselimuti zona merah. Dari 17 Kapanewon di Kabupaten Sleman, 82,35% wilayah atau 14 Kapanewon merupakan daerah dengan resiko penularan tinggi. https://t.co/oQC3O3QxXf",18
"Menko Marves Luhut Binsar Panjaitan menjajal alat uji Covid yang baru buatan UGM, Genose di stasiun Kereta Api Senen - Jakarta Pusat  Alat uji buatan anak bangsa, murah dan efektif. Maju terus Indonesia..!! @kemenkomarves https://t.co/ecm41gVLhP",16
